referencia,Ano,mes,ano_mes,ipca_variacao,ipca_acumulado_ano,ipca_acumulado_doze_meses,ipca15_variacao,ipca15_acumulado_ano,ipca15_acumulado_doze_meses,inpc_variacao,inpc_acumulado_ano,inpc_acumulado_doze_meses,ipa_variacao,ipa_acumulado_ano,ipc_fipe_variacao,ipc_fipe_acumulado_ano,incc_variacao,incc_acumulado_ano,incc_m_variacao,incc_m_acumulado_ano,selic_meta,selic_ano,juros_reais,salario_minimo,consolidado_ano
2016-08,2016,8,201608,0.44,5.42,8.97,0.45,5.66,8.95,0.31,6.09,9.62,0.5,6.41,0.11,5.37,0.29,4.91,0.26,5.1,14.25,14.15,4.75,880,false
2016-09,2016,9,201609,0.08,5.51,8.48,0.23,5.9,8.78,0.08,6.18,9.15,-0.03,6.38,-0.14,5.23,0.33,5.24,0.37,5.47,14.25,14.15,5.23,880,false
2016-10,2016,10,201610,0.26,5.78,7.87,0.19,6.11,8.27,0.17,6.36,8.5,0.04,6.42,0.27,5.5,0.21,5.45,0.17,5.64,14,14.05,5.73,880,false
2016-11,2016,11,201611,0.18,5.97,6.99,0.26,6.38,7.64,0.07,6.43,7.39,-0.01,6.41,0.15,5.65,0.16,5.61,0.17,5.81,13.75,13.9,6.46,880,false
2016-12,2016,12,201612,0.3,6.29,6.29,0.19,6.58,6.58,0.14,6.58,6.58,1.1,7.51,0.72,6.37,0.35,5.96,0.36,6.17,13.75,13.65,6.92,880,true
2017-01,2017,1,201701,0.38,0.38,5.35,0.31,0.31,5.94,0.42,0.42,5.44,0.34,0.34,0.32,0.32,0.41,0.41,0.29,0.29,13,13.17,7.42,937,false
2017-02,2017,2,201702,0.33,0.71,4.76,0.54,0.85,5.02,0.24,0.66,4.69,-0.12,0.22,-0.08,0.24,0.65,1.06,0.53,0.82,12.25,12.82,7.69,937,false
2017-03,2017,3,201703,0.25,0.96,4.57,0.15,1,4.73,0.32,0.98,4.57,-0.78,-0.56,0.14,0.38,0.16,1.22,0.36,1.18,12.25,12.15,7.25,937,false
2017-04,2017,4,201704,0.14,1.1,4.08,0.21,1.22,4.41,0.08,1.06,3.99,-1.96,-2.52,0.61,0.99,-0.02,1.2,0,0,11.25,11.59,7.22,937,false
2017-05,2017,5,201705,0.31,1.42,3.6,0.24,1.46,3.77,0.36,1.43,3.35,-1.1,-3.62,-0.05,0.94,0.63,1.83,0.13,1.31,10.25,11.15,7.29,937,false
2017-06,2017,6,201706,-0.23,1.18,3,0.16,1.62,3.52,-0.3,1.12,2.56,-1.53,-5.15,0.05,0.99,0.93,2.76,1.36,2.67,10.25,10.15,6.94,937,false
2017-07,2017,7,201707,0.24,1.43,2.71,-0.18,1.44,2.78,0.17,1.3,2.08,-0.67,-5.82,-0.01,0.98,0.3,3.06,0.22,2.89,9.25,10.01,7.11,937,false
2017-08,2017,8,201708,0.19,1.62,2.46,0.35,1.79,2.68,-0.03,1.27,1.73,0.26,-5.56,0.1,1.08,0.36,3.42,0.4,3.29,9.25,9.15,6.53,937,false
2017-09,2017,9,201709,0.16,1.78,2.54,0.11,1.9,2.56,-0.02,1.24,1.63,0.97,-4.59,0.02,1.1,0.06,3.48,0.14,3.43,8.25,8.35,5.67,937,false
2017-10,2017,10,201710,0.42,2.21,2.7,0.34,2.25,2.71,0.37,1.62,1.83,-0.03,-4.62,0.32,1.42,0.31,3.79,0.19,3.62,7.5,8.01,5.17,937,false
2017-11,2017,11,201711,0.28,2.5,2.8,0.32,2.58,2.77,0.18,1.8,1.95,1.06,-3.56,0.29,1.71,0.31,4.1,0.28,3.9,7.5,7.4,4.47,937,false
2017-12,2017,12,201712,0.44,2.95,2.95,0.35,2.94,2.94,0.26,2.07,2.07,1.07,-2.49,0.55,2.26,0.07,4.17,0.14,4.04,7,7,3.93,937,true
2018-01,2018,1,201801,0.29,0.29,2.86,0.39,0.39,3.02,0.23,0.23,1.87,0.58,0.58,0.46,0.46,0.31,0.31,0.28,0.28,7,6.9,3.93,954,false
2018-02,2018,2,201802,0.32,0.61,2.84,0.38,0.77,2.86,0.18,0.41,1.81,0.15,0.73,-0.42,0.04,0.13,0.44,0.14,0.42,6.75,6.72,3.77,954,false
2018-03,2018,3,201803,0.09,0.7,2.68,0.1,0.87,2.8,0.07,0.48,1.56,0.77,1.5,0,0.04,0.24,0.68,0.23,0.65,6.5,6.58,3.8,954,false
2018-04,2018,4,201804,0.22,0.92,2.76,0.21,1.08,2.8,0.21,0.69,1.69,1.26,2.76,-0.03,0.01,0.29,0.97,0.28,0.93,6.5,6.4,3.54,954,false
2018-05,2018,5,201805,0.4,1.33,2.86,0.14,1.23,2.7,0.43,1.12,1.76,2.35,5.11,0.19,0.2,0.23,1.2,0.3,1.23,6.5,6.4,3.44,954,false
2018-06,2018,6,201806,1.26,2.6,4.39,1.11,2.35,3.68,1.43,2.57,3.53,1.67,6.78,1.01,1.21,0.97,2.17,0.76,1.99,6.5,6.4,1.93,954,false
2018-07,2018,7,201807,0.33,2.94,4.48,0.64,3,4.53,0.25,2.83,3.61,0.52,7.3,0.23,1.44,0.61,2.78,0.72,2.71,6.5,6.4,1.84,954,false
2018-08,2018,8,201808,-0.09,2.85,4.19,0.13,3.14,4.3,0,2.83,3.64,0.99,8.29,0.41,1.85,0.15,2.93,0.3,3.01,6.5,6.4,2.12,954,false
2018-09,2018,9,201809,0.48,3.34,4.53,0.09,3.23,4.28,0.3,3.14,3.97,2.54,10.83,0.39,2.24,0.23,3.16,0.17,3.18,6.5,6.4,1.79,954,false
2018-10,2018,10,201810,0.45,3.81,4.56,0.58,3.83,4.53,0.4,3.55,4,0.17,11,0.48,2.72,0.35,3.51,0.33,3.51,6.5,6.4,1.76,954,false
2018-11,2018,11,201811,-0.21,3.59,4.05,0.19,4.03,4.39,-0.25,3.29,3.56,-1.17,9.83,0.15,2.87,0.13,3.64,0.26,3.77,6.5,6.4,2.26,954,false
2018-12,2018,12,201812,0.15,3.75,3.75,-0.16,3.86,3.86,0.14,3.43,3.43,-0.82,9.01,0.09,2.96,0.13,3.77,0.13,3.9,6.5,6.4,2.55,954,true
2019-01,2019,1,201901,0.32,0.32,3.78,0.3,0.3,3.77,0.36,0.36,3.57,-0.19,-0.19,0.58,0.58,0.49,0.49,0.4,0.4,6.5,6.4,2.52,998,false
2019-02,2019,2,201902,0.43,0.75,3.89,0.34,0.64,3.73,0.54,0.9,3.94,1.79,1.6,0.54,1.12,0.09,0.58,0.19,0.59,6.5,6.4,2.42,998,false
2019-03,2019,3,201903,0.75,1.51,4.58,0.54,1.18,4.18,0.77,1.68,4.67,1.35,2.95,0.51,1.63,0.31,0.89,0.19,0.78,6.5,6.4,1.74,998,false
2019-04,2019,4,201904,0.57,2.09,4.94,0.72,1.91,4.71,0.6,2.29,5.07,1.09,4.04,0.29,1.92,0.38,1.27,0.49,1.27,6.5,6.4,1.39,998,false
2019-05,2019,5,201905,0.13,2.22,4.66,0.35,2.27,4.93,0.15,2.44,4.78,0.52,4.56,-0.02,1.9,0.03,1.3,0.09,1.36,6.5,6.4,1.66,998,false
2019-06,2019,6,201906,0.01,2.23,3.37,0.06,2.33,3.84,0.01,2.45,3.31,0.83,5.39,0.15,2.05,0.88,2.18,0.44,1.8,6.5,6.4,2.93,998,false
2019-07,2019,7,201907,0.19,2.42,3.22,0.09,2.42,3.27,0.1,2.55,3.16,-0.22,5.17,0.14,2.19,0.58,2.76,0.91,2.71,6,6.4,3.08,998,false
2019-08,2019,8,201908,0.11,2.54,3.43,0.08,2.51,3.22,0.12,2.68,3.28,-0.9,4.27,0.33,2.52,0.42,3.18,0.34,3.05,6,5.9,2.39,998,false
2019-09,2019,9,201909,-0.04,2.49,2.89,0.09,2.6,3.22,-0.05,2.63,2.92,0.69,4.96,0,2.52,0.46,3.64,0.6,3.65,5.5,5.71,2.74,998,false
2019-10,2019,10,201910,0.1,2.6,2.54,0.09,2.69,2.72,0.04,2.67,2.55,0.84,5.8,0.16,2.68,0.18,3.82,0.12,3.77,5,5.38,2.77,998,false
2019-11,2019,11,201911,0.51,3.12,3.27,0.14,2.83,2.67,0.54,3.22,3.37,1.11,6.91,0.68,3.36,0.04,3.86,0.15,3.92,5,4.9,1.58,998,false
2019-12,2019,12,201912,1.15,4.31,4.31,1.05,3.91,3.91,1.22,4.48,4.48,2.34,9.25,0.94,4.3,0.21,4.07,0.14,4.06,4.5,4.59,0.27,998,true
2020-01,2020,1,202001,0.21,0.21,4.19,0.71,0.71,4.34,0.19,0.19,4.3,-0.13,-0.13,0.29,0.29,0.38,0.38,0.26,0.26,4.5,4.4,0.2,1039,false
2020-02,2020,2,202002,0.25,0.46,4.01,0.22,0.93,4.21,0.17,0.36,3.92,-0.03,-0.16,0.11,0.4,0.33,0.71,0.35,0.61,4.25,4.19,0.17,1045,false
2020-03,2020,3,202003,0.07,0.53,3.3,0.02,0.95,3.67,0.18,0.54,3.31,2.33,2.17,0.1,0.5,0.26,0.97,0.38,0.99,3.75,3.95,0.63,1045,false
2020-04,2020,4,202004,-0.31,0.22,2.4,-0.01,0.94,2.92,-0.23,0.31,2.46,0.11,2.28,-0.3,0.2,0.22,1.19,0.18,1.17,3.75,3.65,1.22,1045,false
2020-05,2020,5,202005,-0.38,-0.16,1.88,-0.59,0.35,1.96,-0.25,0.06,2.05,0.25,2.53,-0.24,-0.04,0.2,1.39,0.21,1.38,3,3.01,1.11,1045,false
2020-06,2020,6,202006,0.26,0.1,2.13,0.02,0.37,1.92,0.3,0.36,2.35,2.22,4.75,0.39,0.35,0.34,1.73,0.32,1.7,2.25,2.58,0.44,1045,false
2020-07,2020,7,202007,0.36,0.46,2.31,0.3,0.67,2.13,0.44,0.8,2.69,3.14,7.89,0.25,0.6,1.17,2.9,0.84,2.54,2.25,2.15,-0.16,1045,false
2020-08,2020,8,202008,0.24,0.7,2.44,0.23,0.9,2.28,0.36,1.16,2.94,5.44,13.33,0.78,1.38,0.72,3.62,0.82,3.36,2,1.94,-0.49,1045,false
2020-09,2020,9,202009,0.64,1.34,3.14,0.45,1.35,2.65,0.87,2.04,3.89,4.38,17.71,1.12,2.5,1.16,4.78,1.15,4.51,2,1.9,-1.2,1045,false
2020-10,2020,10,202010,0.86,2.22,3.92,0.94,2.31,3.52,0.89,2.95,4.77,4.86,22.57,1.19,3.69,1.73,6.51,1.69,6.2,2,1.9,-1.94,1045,false
2020-11,2020,11,202011,0.89,3.13,4.31,0.81,3.13,4.22,0.95,3.93,5.2,3.31,25.88,1.03,4.72,1.28,7.79,1.29,7.49,2,1.9,-2.31,1045,false
2020-12,2020,12,202012,1.35,4.52,4.52,1.06,4.23,4.23,1.46,5.45,5.45,0.68,26.56,0.79,5.51,0.7,8.49,0.88,8.37,2,1.9,-2.51,1045,true
2021-01,2021,1,202101,0.25,0.25,4.56,0.78,0.78,4.3,0.27,0.27,5.53,3.92,3.92,0.86,0.86,0.89,0.89,0.93,0.93,2,1.9,-2.54,1100,false
2021-02,2021,2,202102,0.86,1.11,5.2,0.48,1.26,4.57,0.82,1.09,6.22,3.4,7.32,0.23,1.09,1.89,2.78,1.07,2,2,1.9,-3.14,1100,false
2021-03,2021,3,202103,0.93,2.05,6.1,0.93,2.21,5.52,0.86,1.96,6.94,2.59,9.91,0.71,1.8,1.3,4.08,2,4,2.75,2.23,-3.65,1100,false
2021-04,2021,4,202104,0.31,2.37,6.76,0.6,2.82,6.17,0.38,2.35,7.59,2.9,12.81,0.44,2.24,0.9,4.98,0.95,4.95,2.75,2.65,-3.85,1100,false
2021-05,2021,5,202105,0.83,3.22,8.06,0.44,3.27,7.27,0.96,3.33,8.9,4.2,17.01,0.41,2.65,2.22,7.2,1.8,6.75,3.5,3.29,-4.41,1100,false
2021-06,2021,6,202106,0.53,3.77,8.35,0.83,4.13,8.13,0.6,3.95,9.22,-0.26,16.75,0.81,3.46,2.16,9.36,2.3,9.05,4.25,3.76,-4.24,1100,false
2021-07,2021,7,202107,0.96,4.76,8.99,0.72,4.88,8.59,1.02,5.01,9.85,1.65,18.4,1.02,4.48,0.85,10.21,1.24,10.29,4.25,4.15,-4.44,1100,false
2021-08,2021,8,202108,0.87,5.67,9.68,0.89,5.81,9.3,0.88,5.94,10.42,-0.42,17.98,1.44,5.92,0.46,10.67,0.56,10.85,5.25,5.01,-4.26,1100,false
2021-09,2021,9,202109,1.16,6.9,10.25,1.14,7.02,10.05,1.2,7.21,10.78,-1.17,16.81,1.13,7.05,0.51,11.18,0.56,11.41,6.25,5.43,-4.37,1100,false
2021-10,2021,10,202110,1.25,8.24,10.67,1.2,8.3,10.34,1.16,8.45,11.08,1.9,18.71,1,8.05,0.86,12.04,0.8,12.21,7.75,6.3,-3.95,1100,false
2021-11,2021,11,202111,0.95,9.26,10.74,1.17,9.57,10.73,0.84,9.36,10.96,-1.16,17.55,0.72,8.77,0.67,12.71,0.71,12.92,7.75,7.65,-2.79,1100,false
2021-12,2021,12,202112,0.73,10.06,10.06,0.78,10.42,10.42,0.73,10.16,10.16,1.54,19.09,0.57,9.34,0.35,13.06,0.3,13.22,9.25,8.76,-1.18,1100,true
2022-01,2022,1,202201,0.54,0.54,10.38,0.58,0.58,10.2,0.67,0.67,10.6,2.57,2.57,0.74,0.74,0.71,0.71,0.64,0.64,9.25,9.15,-1.11,1212,false
2022-02,2022,2,202202,1.01,1.56,10.54,0.99,1.58,10.76,1,1.68,10.8,1.94,4.51,0.9,1.64,0.38,1.09,0.48,1.12,10.75,10.49,-0.05,1212,false
2022-03,2022,3,202203,1.62,3.2,11.3,0.95,2.54,10.79,1.71,3.42,11.73,2.8,7.31,1.28,2.92,0.86,1.95,0.73,1.85,11.75,11.15,-0.13,1212,false
2022-04,2022,4,202204,1.06,4.29,12.13,1.73,4.31,12.03,1.04,4.49,12.47,0.19,7.5,1.62,4.54,0.95,2.9,0.87,2.72,11.75,11.65,-0.43,1212,false
2022-05,2022,5,202205,0.47,4.78,11.73,0.59,4.93,12.2,0.45,4.96,11.9,0.55,8.05,0.42,4.96,2.28,5.18,1.49,4.21,12.75,12.51,0.7,1212,false
2022-06,2022,6,202206,0.67,5.49,11.89,0.69,5.65,12.04,0.62,5.61,11.92,0.44,8.49,0.28,5.24,2.14,7.32,2.81,7.02,13.25,12.89,0.89,1212,false
2022-07,2022,7,202207,-0.68,4.77,10.07,0.13,5.79,11.39,-0.6,4.98,10.12,-0.32,8.17,0.16,5.4,0.86,8.18,1.16,8.18,13.25,13.15,2.8,1212,false
2022-08,2022,8,202208,-0.36,4.39,8.73,-0.73,5.02,9.6,-0.31,4.65,8.83,-0.63,7.54,0.12,5.52,0.09,8.27,0.33,8.51,13.75,13.58,4.46,1212,false
2022-09,2022,9,202209,-0.29,4.09,7.17,-0.37,4.63,7.96,-0.32,4.32,7.19,-1.68,5.86,0.12,5.64,0.09,8.36,0.1,8.61,13.75,13.65,6.05,1212,false
2022-10,2022,10,202210,0.59,4.7,6.47,0.16,4.8,6.85,0.47,4.81,6.46,-1.04,4.82,0.45,6.09,0.12,8.48,0.04,8.65,13.75,13.65,6.74,1212,false
2022-11,2022,11,202211,0.41,5.13,5.9,0.53,5.35,6.17,0.38,5.21,5.97,-0.43,4.39,0.47,6.56,0.36,8.84,0.14,8.79,13.75,13.65,7.32,1212,false
2022-12,2022,12,202212,0.62,5.79,5.79,0.52,5.9,5.9,0.69,5.93,5.93,0.32,4.71,0.54,7.1,0.09,8.93,0.27,9.06,13.75,13.65,7.43,1212,true
2023-01,2023,1,202301,0.53,0.53,5.77,0.55,0.55,5.87,0.46,0.46,5.71,-0.19,-0.19,0.63,0.63,0.46,0.46,0.32,0.32,13.75,13.65,7.45,1302,false
2023-02,2023,2,202302,0.84,1.37,5.6,0.76,1.31,5.63,0.77,1.23,5.47,-0.04,-0.23,0.43,1.06,0.05,0.51,0.21,0.53,13.75,13.65,7.62,1302,false
2023-03,2023,3,202303,0.71,2.09,4.65,0.69,2.01,5.36,0.64,1.88,4.36,-0.71,-0.94,0.39,1.45,0.3,0.81,0.18,0.71,13.75,13.65,8.6,1302,false
2023-04,2023,4,202304,0.61,2.72,4.18,0.57,2.59,4.16,0.53,2.42,3.83,-1.56,-2.5,0.43,1.88,0.14,0.95,0.23,0.94,13.75,13.65,9.09,1302,false
2023-05,2023,5,202305,0.23,2.95,3.94,0.51,3.12,4.07,0.36,2.79,3.74,-3.37,-5.87,0.2,2.08,0.59,1.54,0.4,1.34,13.75,13.65,9.34,1320,false
